日期,产品名称,售价,成本,数量
2026-04-01,蓝牙耳机,89.9,45,23
2026-04-01,手机壳,19.9,8,67
2026-04-01,充电宝,59.9,30,18
2026-04-01,数据线,12.9,5,95
2026-04-01,手机支架,29.9,12,42
2026-04-02,蓝牙耳机,89.9,45,31
2026-04-02,手机壳,19.9,8,54
2026-04-02,充电宝,59.9,30,22
2026-04-02,数据线,12.9,5,88
2026-04-02,手机支架,29.9,12,35
2026-04-03,蓝牙耳机,89.9,45,27
2026-04-03,手机壳,19.9,8,72
2026-04-03,充电宝,59.9,30,15
2026-04-03,数据线,12.9,5,103
2026-04-03,手机支架,29.9,12,29
2026-04-04,蓝牙耳机,89.9,45,19
2026-04-04,手机壳,19.9,8,61
2026-04-04,充电宝,59.9,30,26
2026-04-04,数据线,12.9,5,77
2026-04-04,手机支架,29.9,12,38
2026-04-05,蓝牙耳机,89.9,45,35
2026-04-05,手机壳,19.9,8,58
2026-04-05,充电宝,59.9,30,19
2026-04-05,数据线,12.9,5,110
2026-04-05,手机支架,29.9,12,45
2026-04-06,蓝牙耳机,89.9,45,22
2026-04-06,手机壳,19.9,8,49
2026-04-06,充电宝,59.9,30,17
2026-04-06,数据线,12.9,5,92
2026-04-06,手机支架,29.9,12,31
2026-04-07,蓝牙耳机,89.9,45,40
2026-04-07,手机壳,19.9,8,83
2026-04-07,充电宝,59.9,30,28
2026-04-07,数据线,12.9,5,105
2026-04-07,手机支架,29.9,12,52
2026-04-08,蓝牙耳机,89.9,45,25
2026-04-08,手机壳,19.9,8,56
2026-04-08,充电宝,59.9,30,21
2026-04-08,数据线,12.9,5,86
2026-04-08,手机支架,29.9,12,33
2026-04-09,蓝牙耳机,89.9,45,33
2026-04-09,手机壳,19.9,8,71
2026-04-09,充电宝,59.9,30,24
2026-04-09,数据线,12.9,5,99
2026-04-09,手机支架,29.9,12,40
2026-04-10,蓝牙耳机,89.9,45,28
2026-04-10,手机壳,19.9,8,65
2026-04-10,充电宝,59.9,30,20
2026-04-10,数据线,12.9,5,115
2026-04-10,手机支架,29.9,12,47
2026-04-11,蓝牙耳机,89.9,45,36
2026-04-11,手机壳,19.9,8,78
2026-04-11,充电宝,59.9,30,30
2026-04-11,数据线,12.9,5,108
2026-04-11,手机支架,29.9,12,55
2026-04-12,蓝牙耳机,89.9,45,41
2026-04-12,手机壳,19.9,8,85
2026-04-12,充电宝,59.9,30,32
2026-04-12,数据线,12.9,5,120
2026-04-12,手机支架,29.9,12,61
2026-04-13,蓝牙耳机,89.9,45,30
2026-04-13,手机壳,19.9,8,62
2026-04-13,充电宝,59.9,30,25
2026-04-13,数据线,12.9,5,93
2026-04-13,手机支架,29.9,12,36
2026-04-14,蓝牙耳机,89.9,45,24
2026-04-14,手机壳,19.9,8,53
2026-04-14,充电宝,59.9,30,18
2026-04-14,数据线,12.9,5,81
2026-04-14,手机支架,29.9,12,28
2026-04-15,蓝牙耳机,89.9,45,38
2026-04-15,手机壳,19.9,8,76
2026-04-15,充电宝,59.9,30,29
2026-04-15,数据线,12.9,5,112
2026-04-15,手机支架,29.9,12,50
